Date,Symbol,Order,Shares
2008-05-01,NWL,SELL,100
2008-05-01,CCE,SELL,100
2008-05-01,JDSU,BUY,100
2008-05-01,CMG,SELL,100
2008-05-01,RDC,BUY,100
2008-05-01,IFF,BUY,100
2008-05-01,YHOO,SELL,100
2008-05-01,WHR,SELL,100
2008-05-02,SEE,BUY,100
2008-05-02,WPO,BUY,100
2008-05-02,STJ,BUY,100
2008-05-02,SIAL,BUY,100
2008-05-02,KO,SELL,100
2008-05-02,IP,BUY,100
2008-05-05,YHOO,BUY,100
2008-05-05,MKC,BUY,100
2008-05-05,SYK,BUY,100
2008-05-05,SUN,SELL,100
2008-05-05,KFT,SELL,100
2008-05-05,GME,BUY,100
2008-05-05,NWL,SELL,100
2008-05-05,MMM,SELL,100
2008-05-06,MRK,SELL,100
2008-05-06,VMC,BUY,100
2008-05-06,PRGO,BUY,100
2008-05-06,PNW,SELL,100
2008-05-06,RDC,SELL,100
2008-05-06,SIAL,SELL,100
2008-05-06,BIIB,SELL,100
2008-05-06,MO,SELL,100
2008-05-06,MON,SELL,100
2008-05-08,IFF,SELL,100
2008-05-08,OI,SELL,100
2008-05-08,JDSU,SELL,100
2008-05-08,RDC,SELL,100
2008-05-08,DNR,SELL,100
2008-05-09,SEE,SELL,100
2008-05-09,WPO,SELL,100
2008-05-09,STJ,SELL,100
2008-05-09,SIAL,SELL,100
2008-05-09,IP,SELL,100
2008-05-12,GME,SELL,100
2008-05-12,YHOO,SELL,100
2008-05-12,SYK,SELL,100
2008-05-12,MKC,SELL,100
2008-05-13,PRGO,SELL,100
2008-05-13,VMC,SELL,100
2008-05-15,AEP,BUY,100
2008-05-15,CELG,BUY,100
2008-05-16,EA,BUY,100
2008-05-16,URBN,BUY,100
2008-05-19,EXPE,BUY,100
2008-05-19,RF,BUY,100
2008-05-19,BDX,BUY,100
2008-05-19,CPB,BUY,100
2008-05-22,CELG,SELL,100
2008-05-22,AEP,SELL,100
2008-05-23,EA,SELL,100
2008-05-23,URBN,SELL,100
2008-05-27,RF,SELL,100
2008-05-27,CPB,SELL,100
2008-05-27,EXPE,SELL,100
2008-05-27,BDX,SELL,100
2008-07-30,CBG,BUY,100
2008-08-05,DNR,BUY,100
2008-08-05,ADM,BUY,100
2008-08-05,NEM,BUY,100
2008-08-05,FLS,BUY,100
2008-08-05,TAP,BUY,100
2008-08-06,MOLX,BUY,100
2008-08-06,WFM,BUY,100
2008-08-06,CBG,SELL,100
2008-08-06,S,BUY,100
2008-08-08,OKE,BUY,100
2008-08-11,CF,BUY,100
2008-08-11,DO,BUY,100
2008-08-11,APD,BUY,100
2008-08-11,NEM,BUY,100
2008-08-11,MOS,BUY,100
2008-08-11,FSLR,BUY,100
2008-08-12,NEM,SELL,100
2008-08-12,TAP,SELL,100
2008-08-12,DNR,SELL,100
2008-08-12,FLS,SELL,100
2008-08-12,EIX,BUY,100
2008-08-12,ADM,SELL,100
2008-08-12,GS,BUY,100
2008-08-12,SE,BUY,100
2008-08-13,S,SELL,100
2008-08-13,WFM,SELL,100
2008-08-13,MOLX,SELL,100
2008-08-14,STJ,BUY,100
2008-08-14,WM,BUY,100
2008-08-15,HAR,BUY,100
2008-08-15,OKE,SELL,100
2008-08-15,OKE,BUY,100
2008-08-15,DV,BUY,100
2008-08-18,DO,SELL,100
2008-08-18,APD,SELL,100
2008-08-18,NEM,SELL,100
2008-08-18,CF,SELL,100
2008-08-18,MOS,SELL,100
2008-08-18,FSLR,SELL,100
2008-08-19,GS,SELL,100
2008-08-19,EIX,SELL,100
2008-08-19,SE,SELL,100
2008-08-21,STJ,SELL,100
2008-08-21,WM,SELL,100
2008-08-22,DV,SELL,100
2008-08-22,HAR,SELL,100
2008-08-22,OKE,SELL,100
2008-11-04,THC,BUY,100
2008-11-11,THC,SELL,100
2008-12-08,CLX,BUY,100
2008-12-10,FLIR,BUY,100
2008-12-15,CLX,SELL,100
2008-12-16,LO,BUY,100
2008-12-17,FLIR,SELL,100
2008-12-23,LO,SELL,100
2008-12-31,ESRX,BUY,100
2009-01-06,ICE,BUY,100
2009-01-06,RAI,BUY,100
2009-01-06,PRGO,BUY,100
2009-01-08,ESRX,SELL,100
2009-01-13,RAI,SELL,100
2009-01-13,PRGO,SELL,100
2009-01-13,ICE,SELL,100
2009-02-06,AIV,BUY,100
2009-02-13,AIV,SELL,100
2009-03-18,GIS,BUY,100
2009-03-24,HRB,BUY,100
2009-03-25,GIS,SELL,100
2009-03-27,ESRX,BUY,100
2009-03-27,STZ,BUY,100
2009-03-31,HRB,SELL,100
2009-04-03,STZ,SELL,100
2009-04-03,ABT,BUY,100
2009-04-03,ESRX,SELL,100
2009-04-03,BAX,BUY,100
2009-04-13,ABT,SELL,100
2009-04-13,BAX,SELL,100
2009-04-13,TDC,BUY,100
2009-04-14,ETR,BUY,100
2009-04-14,NU,BUY,100
2009-04-15,ALXN,BUY,100
2009-04-16,NEM,BUY,100
2009-04-17,PBCT,BUY,100
2009-04-20,TDC,SELL,100
2009-04-21,ETR,SELL,100
2009-04-21,NU,SELL,100
2009-04-22,ALXN,SELL,100
2009-04-23,NEM,SELL,100
2009-04-24,CPB,BUY,100
2009-04-24,PBCT,SELL,100
2009-04-24,HRL,BUY,100
2009-04-24,GIS,BUY,100
2009-04-29,AET,BUY,100
2009-04-29,VFC,BUY,100
2009-04-29,TSS,BUY,100
2009-04-29,SRCL,BUY,100
2009-04-30,STJ,BUY,100
2009-04-30,MYL,BUY,100
2009-04-30,MCD,BUY,100
2009-04-30,JEC,BUY,100
2009-04-30,BLL,BUY,100
2009-05-01,AON,BUY,100
2009-05-01,KSS,BUY,100
2009-05-01,HRL,SELL,100
2009-05-01,IFF,BUY,100
2009-05-01,AGN,BUY,100
2009-05-01,DLTR,BUY,100
2009-05-01,GIS,SELL,100
2009-05-01,CPB,SELL,100
2009-05-04,WPO,BUY,100
2009-05-04,AMT,BUY,100
2009-05-04,DV,BUY,100
2009-05-05,DF,BUY,100
2009-05-06,VFC,SELL,100
2009-05-06,SRCL,SELL,100
2009-05-06,AET,SELL,100
2009-05-06,GME,BUY,100
2009-05-06,TSS,SELL,100
2009-05-07,XLNX,BUY,100
2009-05-07,SYMC,BUY,100
2009-05-07,JEC,SELL,100
2009-05-07,FDO,BUY,100
2009-05-07,VZ,BUY,100
2009-05-07,MCD,SELL,100
2009-05-07,MYL,SELL,100
2009-05-07,STJ,SELL,100
2009-05-07,BBBY,BUY,100
2009-05-07,BLL,SELL,100
2009-05-07,NFLX,BUY,100
2009-05-07,PBI,BUY,100
2009-05-07,TRV,BUY,100
2009-05-07,ROST,BUY,100
2009-05-07,ORCL,BUY,100
2009-05-08,DLTR,SELL,100
2009-05-08,AGN,SELL,100
2009-05-08,AON,SELL,100
2009-05-08,ORLY,BUY,100
2009-05-08,WEC,BUY,100
2009-05-08,AMT,BUY,100
2009-05-08,KSS,SELL,100
2009-05-08,IFF,SELL,100
2009-05-08,AZO,BUY,100
2009-05-08,NVDA,BUY,100
2009-05-11,MCHP,BUY,100
2009-05-11,LOW,BUY,100
2009-05-11,HD,BUY,100
2009-05-11,DV,SELL,100
2009-05-11,WPO,SELL,100
2009-05-11,AMT,SELL,100
2009-05-12,SNDK,BUY,100
2009-05-12,DF,SELL,100
2009-05-12,NKE,BUY,100
2009-05-12,HAS,BUY,100
2009-05-12,AZO,BUY,100
2009-05-13,GME,SELL,100
2009-05-14,ORCL,SELL,100
2009-05-14,VZ,SELL,100
2009-05-14,PBI,SELL,100
2009-05-14,FDO,SELL,100
2009-05-14,BBBY,SELL,100
2009-05-14,TRV,SELL,100
2009-05-14,ROST,SELL,100
2009-05-14,NFLX,SELL,100
2009-05-14,SYMC,SELL,100
2009-05-14,XLNX,SELL,100
2009-05-15,AMT,SELL,100
2009-05-15,NVDA,SELL,100
2009-05-15,ORLY,SELL,100
2009-05-15,AZO,SELL,100
2009-05-15,WEC,SELL,100
2009-05-18,HD,SELL,100
2009-05-18,LOW,SELL,100
2009-05-18,MCHP,SELL,100
2009-05-19,NKE,SELL,100
2009-05-19,SNDK,SELL,100
2009-05-19,AZO,SELL,100
2009-05-19,HAS,SELL,100
2009-05-29,CTAS,BUY,100
2009-05-29,FLIR,BUY,100
2009-05-29,MNST,BUY,100
2009-05-29,BF.B,BUY,100
2009-06-02,CAH,BUY,100
2009-06-03,PCS,BUY,100
2009-06-03,AIG,BUY,100
2009-06-03,TSO,BUY,100
2009-06-03,VLO,BUY,100
2009-06-04,BAX,BUY,100
2009-06-05,FLIR,SELL,100
2009-06-05,MNST,SELL,100
2009-06-05,MNST,BUY,100
2009-06-05,BF.B,SELL,100
2009-06-05,DTV,BUY,100
2009-06-05,CTAS,SELL,100
2009-06-05,EFX,BUY,100
2009-06-08,VRSN,BUY,100
2009-06-08,HUM,BUY,100
2009-06-08,BAX,BUY,100
2009-06-08,UNH,BUY,100
2009-06-08,AET,BUY,100
2009-06-09,PRGO,BUY,100
2009-06-09,CAH,SELL,100
2009-06-09,PFE,BUY,100
2009-06-10,AIG,SELL,100
2009-06-10,PCS,SELL,100
2009-06-10,TSO,SELL,100
2009-06-10,RAI,BUY,100
2009-06-10,VLO,SELL,100
2009-06-11,AET,BUY,100
2009-06-11,CVH,BUY,100
2009-06-11,HUM,BUY,100
2009-06-11,LEN,BUY,100
2009-06-11,BAX,SELL,100
2009-06-12,EFX,SELL,100
2009-06-12,HIG,BUY,100
2009-06-12,DTV,SELL,100
2009-06-12,AMP,BUY,100
2009-06-12,MNST,SELL,100
2009-06-15,BAX,SELL,100
2009-06-15,VRSN,SELL,100
2009-06-15,HUM,SELL,100
2009-06-15,AET,SELL,100
2009-06-15,UNH,SELL,100
2009-06-16,PRGO,SELL,100
2009-06-16,PFE,SELL,100
2009-06-17,RAI,SELL,100
2009-06-18,LEN,SELL,100
2009-06-18,HUM,SELL,100
2009-06-18,CVH,SELL,100
2009-06-18,AET,SELL,100
2009-06-19,AMP,SELL,100
2009-06-19,HIG,SELL,100
2009-07-20,TSN,BUY,100
2009-07-21,RF,BUY,100
2009-07-21,KEY,BUY,100
2009-07-21,LMT,BUY,100
2009-07-22,STJ,BUY,100
2009-07-22,ATI,BUY,100
2009-07-23,BCR,BUY,100
2009-07-23,MCD,BUY,100
2009-07-23,SWY,BUY,100
2009-07-24,LMT,BUY,100
2009-07-24,PNC,BUY,100
2009-07-27,TSN,SELL,100
2009-07-27,BCR,BUY,100
2009-07-28,LMT,SELL,100
2009-07-28,KEY,SELL,100
2009-07-28,DGX,BUY,100
2009-07-28,RF,SELL,100
2009-07-29,ATI,SELL,100
2009-07-29,S,BUY,100
2009-07-29,STJ,SELL,100
2009-07-30,BCR,SELL,100
2009-07-30,AKAM,BUY,100
2009-07-30,MCO,BUY,100
2009-07-30,MCD,SELL,100
2009-07-30,PCS,BUY,100
2009-07-30,SWY,SELL,100
2009-07-31,LMT,SELL,100
2009-07-31,MKC,BUY,100
2009-07-31,PNC,SELL,100
2009-07-31,DNB,BUY,100
2009-07-31,BDX,BUY,100
2009-08-03,K,BUY,100
2009-08-03,BCR,SELL,100
2009-08-03,AZO,BUY,100
2009-08-04,PPL,BUY,100
2009-08-04,DGX,SELL,100
2009-08-05,S,SELL,100
2009-08-05,DGX,BUY,100
2009-08-05,EA,BUY,100
2009-08-05,EW,BUY,100
2009-08-06,AKAM,SELL,100
2009-08-06,PG,BUY,100
2009-08-06,DF,BUY,100
2009-08-06,PCS,SELL,100
2009-08-06,PCS,BUY,100
2009-08-06,ORLY,BUY,100
2009-08-06,MKC,BUY,100
2009-08-06,MCO,SELL,100
2009-08-07,DNB,SELL,100
2009-08-07,DRI,BUY,100
2009-08-07,GIS,BUY,100
2009-08-07,MKC,SELL,100
2009-08-07,PRGO,BUY,100
2009-08-07,K,BUY,100
2009-08-07,BDX,SELL,100
2009-08-10,AZO,SELL,100
2009-08-10,K,SELL,100
2009-08-11,PPL,SELL,100
2009-08-12,DRI,BUY,100
2009-08-12,DGX,SELL,100
2009-08-12,EA,SELL,100
2009-08-12,EW,SELL,100
2009-08-13,DF,SELL,100
2009-08-13,PCS,SELL,100
2009-08-13,MKC,SELL,100
2009-08-13,ORLY,SELL,100
2009-08-13,PG,SELL,100
2009-08-13,KO,BUY,100
2009-08-13,FDO,BUY,100
2009-08-14,DRI,SELL,100
2009-08-14,PRGO,SELL,100
2009-08-14,K,SELL,100
2009-08-14,GIS,SELL,100
2009-08-19,DRI,SELL,100
2009-08-20,KO,SELL,100
2009-08-20,FDO,SELL,100
2009-08-20,NTAP,BUY,100
2009-08-21,INTU,BUY,100
2009-08-25,HCBK,BUY,100
2009-08-27,NTAP,SELL,100
2009-08-28,EW,BUY,100
2009-08-28,ACN,BUY,100
2009-08-28,INTU,SELL,100
2009-08-28,NTRS,BUY,100
2009-08-28,PM,BUY,100
2009-08-28,GT,BUY,100
2009-08-28,MOS,BUY,100
2009-09-01,HCBK,SELL,100
2009-09-04,EW,SELL,100
2009-09-04,MOS,SELL,100
2009-09-04,NTRS,SELL,100
2009-09-04,PM,SELL,100
2009-09-04,GT,SELL,100
2009-09-04,ACN,SELL,100
2009-09-10,SHW,BUY,100
2009-09-10,AEE,BUY,100
2009-09-10,MON,BUY,100
2009-09-11,ORLY,BUY,100
2009-09-11,NEE,BUY,100
2009-09-14,WMT,BUY,100
2009-09-15,KR,BUY,100
2009-09-16,DGX,BUY,100
2009-09-16,LH,BUY,100
2009-09-17,AEE,SELL,100
2009-09-17,SHW,SELL,100
2009-09-17,MON,SELL,100
2009-09-17,VZ,BUY,100
2009-09-17,F,BUY,100
2009-09-17,TXN,BUY,100
2009-09-17,CLX,BUY,100
2009-09-18,ORLY,SELL,100
2009-09-18,CVH,BUY,100
2009-09-18,NEE,SELL,100
2009-09-21,WMT,SELL,100
2009-09-21,KR,BUY,100
2009-09-21,MCO,BUY,100
2009-09-21,AMAT,BUY,100
2009-09-22,KR,SELL,100
2009-09-22,ACE,BUY,100
2009-09-23,LH,SELL,100
2009-09-23,DGX,SELL,100
2009-09-24,VZ,SELL,100
2009-09-24,F,SELL,100
2009-09-24,CLX,SELL,100
2009-09-24,TXN,SELL,100
2009-09-25,CVH,SELL,100
2009-09-28,KR,SELL,100
2009-09-28,MCO,SELL,100
2009-09-28,AMAT,SELL,100
2009-09-29,ACE,SELL,100
2009-10-09,ROST,BUY,100
2009-10-09,T,BUY,100
2009-10-13,S,BUY,100
2009-10-15,BAX,BUY,100
2009-10-16,DFS,BUY,100
2009-10-16,T,SELL,100
2009-10-16,ROST,SELL,100
2009-10-16,MSI,BUY,100
2009-10-19,AIG,BUY,100
2009-10-20,STT,BUY,100
2009-10-20,LMT,BUY,100
2009-10-20,BSX,BUY,100
2009-10-20,CCE,BUY,100
2009-10-20,S,SELL,100
2009-10-20,STI,BUY,100
2009-10-20,AZO,BUY,100
2009-10-20,DVA,BUY,100
2009-10-20,BCR,BUY,100
2009-10-20,IPG,BUY,100
2009-10-22,AMGN,BUY,100
2009-10-22,BAX,SELL,100
2009-10-23,DFS,SELL,100
2009-10-23,MSI,SELL,100
2009-10-26,AIG,SELL,100
2009-10-27,STI,SELL,100
2009-10-27,BSX,SELL,100
2009-10-27,BCR,SELL,100
2009-10-27,DVA,SELL,100
2009-10-27,AZO,SELL,100
2009-10-27,LMT,SELL,100
2009-10-27,CCE,SELL,100
2009-10-27,IPG,SELL,100
2009-10-27,STT,SELL,100
2009-10-29,AMGN,SELL,100
2009-11-09,DV,BUY,100
2009-11-11,KSS,BUY,100
2009-11-11,DV,BUY,100
2009-11-16,DV,SELL,100
2009-11-17,JEC,BUY,100
2009-11-18,ADSK,BUY,100
2009-11-18,KR,BUY,100
2009-11-18,KSS,SELL,100
2009-11-18,DV,SELL,100
2009-11-23,HSY,BUY,100
2009-11-24,LTD,BUY,100
2009-11-24,JEC,SELL,100
2009-11-24,YHOO,BUY,100
2009-11-25,HSY,BUY,100
2009-11-25,KR,SELL,100
2009-11-25,ADSK,SELL,100
2009-12-01,HSY,SELL,100
2009-12-02,YHOO,SELL,100
2009-12-02,LTD,SELL,100
2009-12-03,HSY,SELL,100
2009-12-14,XOM,BUY,100
2009-12-14,C,BUY,100
2009-12-14,TAP,BUY,100
2009-12-16,CELG,BUY,100
2009-12-16,WMT,BUY,100
2009-12-16,AMGN,BUY,100
2009-12-16,USB,BUY,100
2009-12-16,ESRX,BUY,100
2009-12-16,STZ,BUY,100
2009-12-21,XOM,SELL,100
2009-12-21,APD,BUY,100
2009-12-21,SIAL,BUY,100
2009-12-21,CAG,BUY,100
2009-12-21,PG,BUY,100
2009-12-21,NEM,BUY,100
2009-12-21,TAP,SELL,100
2009-12-21,C,SELL,100
2009-12-23,STZ,SELL,100
2009-12-23,ESRX,SELL,100
2009-12-23,USB,SELL,100
2009-12-23,TWC,BUY,100
2009-12-23,AMGN,SELL,100
2009-12-23,WMT,SELL,100
2009-12-23,CTAS,BUY,100
2009-12-23,CELG,SELL,100
2009-12-28,HAR,BUY,100
2009-12-29,APD,SELL,100
2009-12-29,NEM,SELL,100
2009-12-29,CAG,SELL,100
2009-12-29,PG,SELL,100
2009-12-29,SIAL,SELL,100
2009-12-31,TWC,SELL,100
2009-12-31,HAR,SELL,100
2009-12-31,CTAS,SELL,100
